queue_rank,song_id,canonical_artist,canonical_title,first_release_year,dad_favorite_source_count,dad_source_count,appears_on_dad_favorite_source,popularity_score,popularity_status,recognition_status
92,S0a63c08f66,The Hollies,Soldier’s Song,,1,1,1,,not_enriched,unreviewed
93,S0a712d553d,Loggins & Messina,Be Free,,1,1,1,,not_enriched,unreviewed
94,S0a8fd19986,Huey Lewis & the News,100 Years From Now,,1,1,1,,not_enriched,unreviewed
95,S0ab38449d9,New Moon Jelly Roll Freedom Rockers,Blues For Yesterday,,1,1,1,,not_enriched,unreviewed
96,S0adc85ec49,Kenny Loggins,Meet Me Halfway,,1,1,1,,not_enriched,unreviewed
97,S0b660e20a3,Bob Dylan,Watching the River Flow,,1,1,1,,not_enriched,unreviewed
98,S0b9d229b09,Bad Company,Ballad of the Band,,1,1,1,,not_enriched,unreviewed
99,S0bca161b29,Jimi Hendrix,Third Stone From the Sun,,1,1,1,,not_enriched,unreviewed
100,S0bd6207e30,Eric Clapton,Tell the Truth,,1,1,1,,not_enriched,unreviewed
101,S0d36ef6259,Wings,Mull of Kintyre,,1,1,1,,not_enriched,unreviewed
102,S0d4c67664c,Sheryl Crow,Am I Getting Through (Part I & II),,1,1,1,,not_enriched,unreviewed
103,S0d6a4f6d0d,Collective Soul,All,,1,1,1,,not_enriched,unreviewed
104,S0db07f56c5,Bad Company,Painted Face,,1,1,1,,not_enriched,unreviewed
105,S0dfcd9cf49,Creedence Clearwater Revival,Sweet Hitch‐Hiker,,1,1,1,,not_enriched,unreviewed
106,S0e39ebd58f,Lindsey Buckingham,You Do or You Don't,,1,1,1,,not_enriched,unreviewed
107,S0e45962b1b,Lynyrd Skynyrd,Gimme Three Steps,,1,1,1,,not_enriched,unreviewed
108,S0e4844f6ca,Gordon Lightfoot,Wherefore and Why,,1,1,1,,not_enriched,unreviewed
109,S0e92f7b0cd,The Guess Who,Share the Land,,1,1,1,,not_enriched,unreviewed
110,S0e95df4923,Ace,Rock & Roll Runaway,,1,1,1,,not_enriched,unreviewed
111,S0ec3442f7c,The Beatles,You Like Me Too Much,,1,1,1,,not_enriched,unreviewed
112,S0ecadc6ed7,Ace,Why?,,1,1,1,,not_enriched,unreviewed
113,S0f208c5603,Heart,What About Love,,1,1,1,,not_enriched,unreviewed
114,S0f475c348f,The Beatles,Flying,,1,1,1,,not_enriched,unreviewed
115,S10486a7ff6,Journey,Patiently,,1,1,1,,not_enriched,unreviewed
116,S105993d8c9,Led Zeppelin,Thank You,,1,1,1,,not_enriched,unreviewed
117,S105e8f2980,Heart,Straight On (acoustic),,1,1,1,,not_enriched,unreviewed
118,S10a0f6b3e1,The Doobie Brothers,The Doctor,,1,1,1,,not_enriched,unreviewed
119,S10cbbb8e98,Journey,Feeling That Way,,1,1,1,,not_enriched,unreviewed
120,S10daebfa03,Alice in Chains,Swing on This,,1,1,1,,not_enriched,unreviewed
121,S10e8ff737e,The Guess Who,American Woman,,1,1,1,,not_enriched,unreviewed
122,S117ff98193,Bob Dylan,Lay Lady Lay,,1,1,1,,not_enriched,unreviewed
123,S125e04dea1,Neil Diamond,Forever in Blue Jeans,,1,1,1,,not_enriched,unreviewed
124,S1286f54223,The Cars,Don't Cha Stop,,1,1,1,,not_enriched,unreviewed
125,S1383bd4cfb,The 5th Dimension,"Up, Up and Away",,1,1,1,,not_enriched,unreviewed
126,S13ae898d0f,Bob Dylan,I Want You,,1,1,1,,not_enriched,unreviewed
127,S13bb0a1fc9,Neil Diamond,Teach Me Tonight,,1,1,1,,not_enriched,unreviewed
128,S13d2f786bd,Paul McCartney & Wings,Bluebird,,1,1,1,,not_enriched,unreviewed
129,S13d6eaeb10,Alice Cooper,Under My Wheels,,1,1,1,,not_enriched,unreviewed
130,S1447044143,Tom Kimmel,Tryin' to Dance,,1,1,1,,not_enriched,unreviewed
131,S144f4b669c,Jimi Hendrix,Little Miss Lover,,1,1,1,,not_enriched,unreviewed
132,S1460ca8a5a,Tracy Chapman,Material World,,1,1,1,,not_enriched,unreviewed
133,S1487470f3d,The Beatles,You’ve Got to Hide Your Love Away,,1,1,1,,not_enriched,unreviewed
134,S14e8e75ecd,Kenny Loggins,I'm Alright,,1,1,1,,not_enriched,unreviewed
135,S152206c59c,Heart,Dreamboat Annie (Fantasy Child),,1,1,1,,not_enriched,unreviewed
136,S154a6b6a8c,Garth Brooks,The Dance,,1,1,1,,not_enriched,unreviewed
137,S158cfb1404,Heart,Dreamboat Annie (reprise),,1,1,1,,not_enriched,unreviewed
138,S15a627c520,The Babys,Sweet 17,,1,1,1,,not_enriched,unreviewed
139,S15db4ac360,Kansas,Fight Fire With Fire,,1,1,1,,not_enriched,unreviewed
140,S15e6c74cfc,Neil Diamond,You Don’t Bring Me Flowers,,1,1,1,,not_enriched,unreviewed
141,S160277a0e0,Peter Frampton,Doobie Wah,,1,1,1,,not_enriched,unreviewed
142,S1671b85a8e,The Doobie Brothers,South City Midnight Lady,,1,1,1,,not_enriched,unreviewed
143,S16e502d050,Led Zeppelin,Black Dog,,1,1,1,,not_enriched,unreviewed
144,S1705cba067,Icehouse,"Hey, Little Girl",,1,1,1,,not_enriched,unreviewed
145,S173a8967f0,New Moon Jelly Roll Freedom Rockers,Blues is a Mighty Bad Feeling,,1,1,1,,not_enriched,unreviewed
146,S173b83d849,Dire Straits,Six Blade Knife,,1,1,1,,not_enriched,unreviewed
147,S173c7381ae,Foreigner,"Long, Long Way From Home",,1,1,1,,not_enriched,unreviewed
148,S1741350bbe,Greg Kihn Band,The Girl Most Likely,,1,1,1,,not_enriched,unreviewed
149,S175514530b,Paul McCartney,Coming Up,,1,1,1,,not_enriched,unreviewed
150,S1755ec62ab,The Hollies,Look Through Any Window,,1,1,1,,not_enriched,unreviewed
151,S177cf36210,Heart,These Dreams,,1,1,1,,not_enriched,unreviewed
152,S179b0f90ad,Collective Soul,Pretty Donna,,1,1,1,,not_enriched,unreviewed
153,S1802a47679,Sheryl Crow,We Do What We Can,,1,1,1,,not_enriched,unreviewed
154,S18594da00d,The Doobie Brothers,You Just Can't Stop It,,1,1,1,,not_enriched,unreviewed
155,S18a79eccbf,Lynyrd Skynyrd,Free Bird,,1,1,1,,not_enriched,unreviewed
156,S196816b480,Foreigner,Starrider,,1,1,1,,not_enriched,unreviewed
157,S1a3cf7bdbd,The Beatles,"Here, There and Everywhere",,1,1,1,,not_enriched,unreviewed
158,S1a78e01aa2,Bob Dylan,Knockin' on Heaven's Door,,1,1,1,,not_enriched,unreviewed
159,S1a8bbe731d,Enigma,Return to Innocence,,1,1,1,,not_enriched,unreviewed
160,S1aa87bedf0,The Doors,Soul Kitchen,,1,1,1,,not_enriched,unreviewed
161,S1ad3a31030,"Crosby, Stills, Nash & Young",Our House,,1,1,1,,not_enriched,unreviewed
162,S1b620ef9ac,Led Zeppelin,You Shook Me,,1,1,1,,not_enriched,unreviewed
163,S1c01560da2,"Crosby, Stills & Nash",Suite: Judy Blue Eyes,,1,1,1,,not_enriched,unreviewed
164,S1c02b623f8,The Hollies,Someone Else’s Eyes,,1,1,1,,not_enriched,unreviewed
165,S1c41ed1119,Bon Jovi,Raise Your Hands,,1,1,1,,not_enriched,unreviewed
166,S1c53912f2d,Paul McCartney,Love In Song,,1,1,1,,not_enriched,unreviewed
167,S1ce7cfd629,Greg Kihn Band,Sheila,,1,1,1,,not_enriched,unreviewed
168,S1cfdca5daf,The Babys,Head First,,1,1,1,,not_enriched,unreviewed
169,S1d13e3f8e5,Kenny Loggins,Return to Pooh Corner,,1,1,1,,not_enriched,unreviewed
170,S1d6f953732,Dire Straits,Your Latest Trick,,1,1,1,,not_enriched,unreviewed
171,S1dd7cae098,Gordon Lightfoot,Summer Side of Life,,1,1,1,,not_enriched,unreviewed
172,S1e13f1e741,Eric Clapton,Slunky,,1,1,1,,not_enriched,unreviewed
173,S1e39d61ad2,Eric Clapton,Walkin’ Blues,,1,1,1,,not_enriched,unreviewed
174,S1e4b01b471,Eagles,Take the Devil,,1,1,1,,not_enriched,unreviewed
175,S1ea7bc7c1a,Jimi Hendrix,All Along the Watch Tower,,1,1,1,,not_enriched,unreviewed
176,S1f4ac0b9e1,The Hollies,Just One Look,,1,1,1,,not_enriched,unreviewed
177,S1f5acab7b6,Creedence Clearwater Revival,Run Through the Jungle,,1,1,1,,not_enriched,unreviewed
178,S1fe17e4e07,Kenny Loggins,Footloose,,1,1,1,,not_enriched,unreviewed
179,S1ffcc84f32,Tracy Chapman,Crossroads,,1,1,1,,not_enriched,unreviewed
180,S200ceb8b79,George Harrison,My Sweet Lord,,1,1,1,,not_enriched,unreviewed
181,S2029708da3,Kansas,Miracles Out of Nowhere,,1,1,1,,not_enriched,unreviewed
182,S209e94c1b5,The Doobie Brothers,Spirit,,1,1,1,,not_enriched,unreviewed
183,S20b2546204,Electric Light Orchestra,Showdown,,1,1,1,,not_enriched,unreviewed
184,S20e4450de0,The 5th Dimension,(Last Night) I Didn't Get to Sleep at All,,1,1,1,,not_enriched,unreviewed
185,S2126c2ba73,Billy Joel,Uptown Girl,,1,1,1,,not_enriched,unreviewed
186,S2156a93637,Steve Miller Band,Rock'n Me,,1,1,1,,not_enriched,unreviewed
187,S21f3ab8fea,The Beatles,Golden Slumbers,,1,1,1,,not_enriched,unreviewed
188,S224385838b,Tracy Chapman,A Hundred Years,,1,1,1,,not_enriched,unreviewed
189,S22588403a2,Alice in Chains,No Excuses,,1,1,1,,not_enriched,unreviewed
190,S22ccacfafb,Tom Kimmel,Violet Eyes,,1,1,1,,not_enriched,unreviewed
191,S232460654a,Eagles,Tryin’,,1,1,1,,not_enriched,unreviewed
192,S2327e855d9,Peter Frampton,Wind of Change,,1,1,1,,not_enriched,unreviewed
