queue_rank,song_id,canonical_artist,canonical_title,first_release_year,dad_favorite_source_count,dad_source_count,appears_on_dad_favorite_source,popularity_score,popularity_status,recognition_status
580,S8242888b11,Sheryl Crow,Can’t Cry Anymore,,1,1,1,,not_enriched,unreviewed
581,S826a9f2584,New Moon Jelly Roll Freedom Rockers,Black Water,,1,1,1,,not_enriched,unreviewed
582,S826c2d07c3,New Moon Jelly Roll Freedom Rockers,Blue Guitar,,1,1,1,,not_enriched,unreviewed
583,S8278a3b46e,The Association,The Time It Is Today,,1,1,1,,not_enriched,unreviewed
584,S82a629265b,Lynyrd Skynyrd,Tuesday’s Gone,,1,1,1,,not_enriched,unreviewed
585,S8366e2dd47,The Doobie Brothers,Dependin’ on You,,1,1,1,,not_enriched,unreviewed
586,S836ecdef52,The Doobie Brothers,Slack Key Soquel Rag,,1,1,1,,not_enriched,unreviewed
587,S8391356315,Peter Gabriel,Red Rain,,1,1,1,,not_enriched,unreviewed
588,S844372016d,The Animals,Gonna Send You Back to Walker,,1,1,1,,not_enriched,unreviewed
589,S84cb549a87,Jackson Browne,The Only Child,,1,1,1,,not_enriched,unreviewed
590,S84de572dcf,Alice Cooper,Hello Hooray,,1,1,1,,not_enriched,unreviewed
591,S85187a734f,The Doobie Brothers,Song to See You Through,,1,1,1,,not_enriched,unreviewed
592,S855d6e61e8,The Steve Miller Band,Winter Time,,1,1,1,,not_enriched,unreviewed
593,S85d7b03dc2,Electric Light Orchestra,Can’t Get It Out of My Head,,1,1,1,,not_enriched,unreviewed
594,S862c90e899,Loggins & Messina,House at Pooh Corner,,1,1,1,,not_enriched,unreviewed
595,S863e69035b,Lindsey Buckingham,Wrong,,1,1,1,,not_enriched,unreviewed
596,S865cfb2d28,Lindsey Buckingham,Instrumental Introduction To:,,1,1,1,,not_enriched,unreviewed
597,S86962edd2b,Bread,Too Much Love,,1,1,1,,not_enriched,unreviewed
598,S8727db24c1,The Beatles,She’s Leaving Home,,1,1,1,,not_enriched,unreviewed
599,S87a5c95de9,Heart,High Time,,1,1,1,,not_enriched,unreviewed
600,S880bc18bc7,The Beatles,Fixing a Hole,,1,1,1,,not_enriched,unreviewed
601,S88209792a6,Bob Dylan,Sweetheat Like You,,1,1,1,,not_enriched,unreviewed
602,S884cd87851,Heart,Dog & Butterfly,,1,1,1,,not_enriched,unreviewed
603,S8889e80e40,The Association,Like Always,,1,1,1,,not_enriched,unreviewed
604,S88fe8ef92f,Journey,La Do Da,,1,1,1,,not_enriched,unreviewed
605,S891630d77e,Huey Lewis & the News,It’s Alright,,1,1,1,,not_enriched,unreviewed
606,S8994b13071,Heart,Nothin’ at All,,1,1,1,,not_enriched,unreviewed
607,S89c9463dcc,The Babys,Every Time I Think of You,,1,1,1,,not_enriched,unreviewed
608,S89ea18aae9,Fleetwood Mac,Seven Wonders,,1,1,1,,not_enriched,unreviewed
609,S8a9a120286,Huey Lewis & the News,So Little Kindness,,1,1,1,,not_enriched,unreviewed
610,S8acb44ad50,Icehouse,Great Southern Land,,1,1,1,,not_enriched,unreviewed
611,S8b66bae243,The Beatles,She Came In Through the Bathroom Window,,1,1,1,,not_enriched,unreviewed
612,S8ba908db29,Fleetwood Mac,Big Love,,1,1,1,,not_enriched,unreviewed
613,S8be10b79f5,The Hollies,Carrie Anne,,1,1,1,,not_enriched,unreviewed
614,S8c42d4e8a2,Paul McCartney & Wings,Mrs. Vandebilt,,1,1,1,,not_enriched,unreviewed
615,S8d8a49581f,Billy Joel,The Stranger (reprise),,1,1,1,,not_enriched,unreviewed
616,S8dac6cc028,The Beatles,You Never Give Me Your Money,,1,1,1,,not_enriched,unreviewed
617,S8de011c5ad,The Guess Who,Laughing,,1,1,1,,not_enriched,unreviewed
618,S8def372c10,The Doobie Brothers,Road Angel,,1,1,1,,not_enriched,unreviewed
619,S8e1fd783f0,Tracy Chapman,Born to Fight,,1,1,1,,not_enriched,unreviewed
620,S8e2b90cadb,The J. Geils Band,The Lady Makes Demands,,1,1,1,,not_enriched,unreviewed
621,S8e8ad194cb,Led Zeppelin,Communication Breakdown,,1,1,1,,not_enriched,unreviewed
622,S8e9902e666,Garth Brooks,"Two of a Kind, Workin' on a Full House",,1,1,1,,not_enriched,unreviewed
623,S8e9c532f53,Garth Brooks,The River,,1,1,1,,not_enriched,unreviewed
624,S8eb0998007,Garth Brooks,We Shall Be Free,,1,1,1,,not_enriched,unreviewed
625,S8ed1d1a52b,Creedence Clearwater Revival,Long as I Can See the Light,,1,1,1,,not_enriched,unreviewed
626,S8ee1881fe7,Collective Soul,Love Lifted Me,,1,1,1,,not_enriched,unreviewed
627,S8ef1b67d9f,The Cars,Just What I Needed,,1,1,1,,not_enriched,unreviewed
628,S8fa3dff6cd,The Doors,The End,,1,1,1,,not_enriched,unreviewed
629,S8fbd5fa824,Sheryl Crow,The Difficult Kind,,1,1,1,,not_enriched,unreviewed
630,S90106ec6c5,Heart,Who Will You Run To,,1,1,1,,not_enriched,unreviewed
631,S90153330bf,Lindsey Buckingham,Soul Drifter,,1,1,1,,not_enriched,unreviewed
632,S909b6c233c,Fleetwood Mac,Everywhere,,1,1,1,,not_enriched,unreviewed
633,S90a836ddf4,Greg Kihn Band,When the Music Starts,,1,1,1,,not_enriched,unreviewed
634,S90a9325b60,Grand Funk Railroad,Walk Like a Man (You Can Call Me Your Man),,1,1,1,,not_enriched,unreviewed
635,S90eb3baf7a,Heart,Straight On,,1,1,1,,not_enriched,unreviewed
636,S910aee1d3a,The Doobie Brothers,Neil's Fandango,,1,1,1,,not_enriched,unreviewed
637,S91da1e5402,Kenny Loggins,Forever,,1,1,1,,not_enriched,unreviewed
638,S9211a29c7a,The Babys,Give Me Your Love,,1,1,1,,not_enriched,unreviewed
639,S924d45e227,Foreigner,The Damage Is Done,,1,1,1,,not_enriched,unreviewed
640,S92645df191,The Beatles,Because,,1,1,1,,not_enriched,unreviewed
641,S92a8c48edb,The Doobie Brothers,Busted Down Around O’Connelly Corners,,1,1,1,,not_enriched,unreviewed
642,S92b8e08710,Lynyrd Skynyrd,Saturday Night Special,,1,1,1,,not_enriched,unreviewed
643,S92dd31e92e,Peter Frampton,All I Want to Be (Is by Your Side),,1,1,1,,not_enriched,unreviewed
644,S930eee3d8b,George Harrison,Dark Horse,,1,1,1,,not_enriched,unreviewed
645,S9326d19131,Kenny Loggins,Conviction of the Heart,,1,1,1,,not_enriched,unreviewed
646,S935f38aea2,The Byrds,5 D (Fifth Dimension),,1,1,1,,not_enriched,unreviewed
647,S93934dfc25,Roger Hodgson,"Give Me Love, Give Me Life",,1,1,1,,not_enriched,unreviewed
648,S93c0ccc8a9,Sheryl Crow,Solidify,,1,1,1,,not_enriched,unreviewed
649,S93eebecc34,Gordon Lightfoot,Rainy Day People,,1,1,1,,not_enriched,unreviewed
650,S94914bc598,Heart,Nada One,,1,1,1,,not_enriched,unreviewed
651,S94e79a4093,Bread,Diary,,1,1,1,,not_enriched,unreviewed
652,S9514350b2d,The Mamas & the Papas,I Call Your Name,,1,1,1,,not_enriched,unreviewed
653,S9516b415bc,The Babys,If You've Got the Time,,1,1,1,,not_enriched,unreviewed
654,S958ff7dcbf,Wings,C Moon,,1,1,1,,not_enriched,unreviewed
655,S959345cf6d,Huey Lewis and the News,Honky Tonk Blues,,1,1,1,,not_enriched,unreviewed
656,S95c3e16464,Led Zeppelin,No Quarter,,1,1,1,,not_enriched,unreviewed
657,S95cba4f7fd,Heart,Soul of the Sea,,1,1,1,,not_enriched,unreviewed
658,S9611960d82,Sheryl Crow,Resuscitation,,1,1,1,,not_enriched,unreviewed
659,S962538449e,Sheryl Crow,The Na‐Na Song,,1,1,1,,not_enriched,unreviewed
660,S966a664da1,Bad Company,Downhill Ryder,,1,1,1,,not_enriched,unreviewed
661,S967b3ac589,Jimi Hendrix,Little Wing,,1,1,1,,not_enriched,unreviewed
662,S97ab2044e0,Journey,Lights,,1,1,1,,not_enriched,unreviewed
663,S97cb7c8f0c,The Cars,Looking for Love,,1,1,1,,not_enriched,unreviewed
664,S98151573b5,Peter Frampton,I Wanna Go to the Sun,,1,1,1,,not_enriched,unreviewed
665,S986bf4d228,The Guess Who,Hand Me Down World,,1,1,1,,not_enriched,unreviewed
666,S9884d2dcc2,Led Zeppelin,Rock and Roll,,1,1,1,,not_enriched,unreviewed
667,S9898e78076,The Beatles,"Hello, Goodbye",,1,1,1,,not_enriched,unreviewed
668,S98a3ea0c44,Steve Miller Band,The Window,,1,1,1,,not_enriched,unreviewed
669,S9912caa8f5,Lindsey Buckingham,Countdown,,1,1,1,,not_enriched,unreviewed
670,S991b36db39,Neil Diamond,I’m Alive,,1,1,1,,not_enriched,unreviewed
671,S99566c80c6,Led Zeppelin,Immigrant Song,,1,1,1,,not_enriched,unreviewed
672,S99a45aa40e,The Cars,Stranger Eyes,,1,1,1,,not_enriched,unreviewed
673,S99d03a25ca,Billy Idol,Flesh for Fantasy,,1,1,1,,not_enriched,unreviewed
674,S9a19de9da6,The Mamas & the Papas,"Monday, Monday",,1,1,1,,not_enriched,unreviewed
675,S9a5eba8743,The Hollies,Wasted on the Way,,1,1,1,,not_enriched,unreviewed
676,S9a89372d37,Creedence Clearwater Revival,Up Around the Bend,,1,1,1,,not_enriched,unreviewed
677,S9a999e1148,Kansas,Dust in the Wind,,1,1,1,,not_enriched,unreviewed
678,S9a9d985cfe,Bread,Let Your Love Go,,1,1,1,,not_enriched,unreviewed
679,S9ab3940724,The 5th Dimension,Together Let's Find Love,,1,1,1,,not_enriched,unreviewed
680,S9abff869dd,Jimi Hendrix,Purple Haze,,1,1,1,,not_enriched,unreviewed
681,S9b258d86b2,Creedence Clearwater Revival,Bad Moon Rising,,1,1,1,,not_enriched,unreviewed
682,S9b400746ae,The Steve Miller Band,Babes in the Wood,,1,1,1,,not_enriched,unreviewed
683,S9ba46564da,Foreigner,Headknocker,,1,1,1,,not_enriched,unreviewed
684,S9bce13a964,Chicago,Does Anybody Really Know What Time It Is?,,1,1,1,,not_enriched,unreviewed
685,S9bd970d1a3,Sheryl Crow,It Don’t Hurt,,1,1,1,,not_enriched,unreviewed
686,S9c7160fd46,Alice in Chains,Whale & Wasp,,1,1,1,,not_enriched,unreviewed
687,S9c823bd868,Heart,Hijinx,,1,1,1,,not_enriched,unreviewed
688,S9ca2aa30be,Journey,Can Do,,1,1,1,,not_enriched,unreviewed
689,S9cde9e0619,Eric Clapton,Nobody Knows You When You’re Down & Out,,1,1,1,,not_enriched,unreviewed
690,S9ce9db3c44,The Steve Miller Band,Jungle Love,,1,1,1,,not_enriched,unreviewed
691,S9d77dc5b5e,The Cars,Why Can't I Have You,,1,1,1,,not_enriched,unreviewed
692,S9da2f36221,The Beatles,Good Morning Good Morning,,1,1,1,,not_enriched,unreviewed
693,S9dc841d167,Dire Straits,Private Investigations,,1,1,1,,not_enriched,unreviewed
694,S9dd196fe7c,The Hollies,Bus Stop,,1,1,1,,not_enriched,unreviewed
695,S9e199ccdc1,Fleetwood Mac,You Make Loving Fun,,1,1,1,,not_enriched,unreviewed
696,S9e4ed5192f,Creedence Clearwater Revival,Susie Q,,1,1,1,,not_enriched,unreviewed
697,S9e675b51b8,The Doors,Love Me Two Times,,1,1,1,,not_enriched,unreviewed
698,S9e8662f075,The Animals,Boom Boom,,1,1,1,,not_enriched,unreviewed
699,S9ea82c868c,Jimi Hendrix,Gypsy Eyes,,1,1,1,,not_enriched,unreviewed
700,S9eb21005b6,Foreigner,I Need You,,1,1,1,,not_enriched,unreviewed
701,S9ecff0eb55,Sheryl Crow,"Run, Baby, Run",,1,1,1,,not_enriched,unreviewed
702,S9edf628ae7,Jackson Browne,The Fuse,,1,1,1,,not_enriched,unreviewed
703,S9f0600cdab,Loggins & Messina,Watching the River Run,,1,1,1,,not_enriched,unreviewed
704,S9f4ef486ee,The Association,Six Man Band,,1,1,1,,not_enriched,unreviewed
705,S9ff8adf4c2,Heart,Heartless,,1,1,1,,not_enriched,unreviewed
706,Sa052aa4ca0,Steve Miller Band,Serenade,,1,1,1,,not_enriched,unreviewed
707,Sa064604a6c,Icehouse,Walls,,1,1,1,,not_enriched,unreviewed
708,Sa06a15d68f,Led Zeppelin,Since I’ve Been Loving You,,1,1,1,,not_enriched,unreviewed
709,Sa0a359842a,Bad Company,Racetrack,,1,1,1,,not_enriched,unreviewed
710,Sa0d7b118a0,Elton John,Bennie and the Jets,,1,1,1,,not_enriched,unreviewed
711,Sa0fdfebb49,Tracy Chapman,All That You Have Is Your Soul,,1,1,1,,not_enriched,unreviewed
712,Sa19801786e,Jimi Hendrix,"Still Raining, Still Dreaming",,1,1,1,,not_enriched,unreviewed
713,Sa1ef3f2f89,The Byrds,My Back Pages,,1,1,1,,not_enriched,unreviewed
714,Sa2558f4131,Tom Kimmel,On the Defensive,,1,1,1,,not_enriched,unreviewed
715,Sa266a03a86,Heart,Alone,,1,1,1,,not_enriched,unreviewed
716,Sa2bcfb794e,The 5th Dimension,Wedding Bell Blues,,1,1,1,,not_enriched,unreviewed
717,Sa2bf0f0979,Bob Dylan,Like a Rolling Stone,,1,1,1,,not_enriched,unreviewed
718,Sa2e23f6900,Greg Kihn Band,The Breakup Song (They Don't Write 'em),,1,1,1,,not_enriched,unreviewed
719,Sa33c13939f,Sheryl Crow,My Favorite Mistake,,1,1,1,,not_enriched,unreviewed
720,Sa3cdc6f8ae,The Beatles,I Should Have Known Better,,1,1,1,,not_enriched,unreviewed
721,Sa3ea1951d4,The Beatles,Please Mr. Postman,,1,1,1,,not_enriched,unreviewed
722,Sa4891ce61d,Fleetwood Mac,Rhiannon,,1,1,1,,not_enriched,unreviewed
723,Sa48c3de79a,Enigma,The Cross of Changes,,1,1,1,,not_enriched,unreviewed
724,Sa4a6e12191,Led Zeppelin,Whole Lotta Love,,1,1,1,,not_enriched,unreviewed
725,Sa4af2b3bf1,Gordon Lightfoot,Old Dan's Records,,1,1,1,,not_enriched,unreviewed
726,Sa4b18ae993,Jimi Hendrix,Have You Ever Been (To Electric Ladyland),,1,1,1,,not_enriched,unreviewed
727,Sa4b9e05177,New Moon Jelly Roll Freedom Rockers,Messin’ With The Kid,,1,1,1,,not_enriched,unreviewed
728,Sa4d120aacb,The Byrds,So You Want to Be a Rock ’n’ Roll Star,,1,1,1,,not_enriched,unreviewed
729,Sa5269995b9,The Animals,I’m in Love Again,,1,1,1,,not_enriched,unreviewed
730,Sa543e5d16b,Carole King,Beautiful,,1,1,1,,not_enriched,unreviewed
731,Sa582c01468,Alice in Chains,Don’t Follow,,1,1,1,,not_enriched,unreviewed
732,Sa588d2e9e8,Garth Brooks,Callin' Baton Rouge,,1,1,1,,not_enriched,unreviewed
733,Sa58afaef45,Carole King,You've Got a Friend,,1,1,1,,not_enriched,unreviewed
734,Sa5b8ff4813,Paul McCartney,Maybe I’m Amazed,,1,1,1,,not_enriched,unreviewed
735,Sa5c0a674a3,Led Zeppelin,Heartbreaker,,1,1,1,,not_enriched,unreviewed
736,Sa5c5a8e81c,Ace,How Long,,1,1,1,,not_enriched,unreviewed
737,Sa60af0839b,Garth Brooks,Much Too Young (to Feel This Damn Old),,1,1,1,,not_enriched,unreviewed
738,Sa645f682d0,Fleetwood Mac,Blue Letter,,1,1,1,,not_enriched,unreviewed
739,Sa65073d995,The Beatles,Act Naturally,,1,1,1,,not_enriched,unreviewed
740,Sa6a418789f,"Crosby, Stills, Nash & Young",Ohio,,1,1,1,,not_enriched,unreviewed
741,Sa7066f3daa,Paul McCartney,Venus And Mars-Reprise,,1,1,1,,not_enriched,unreviewed
742,Sa73c930891,The Beatles,Maggie Mae,,1,1,1,,not_enriched,unreviewed
743,Sa758471d0e,The Doobie Brothers,Listen to the Music,,1,1,1,,not_enriched,unreviewed
744,Sa78e7cda15,Led Zeppelin,That’s the Way,,1,1,1,,not_enriched,unreviewed
745,Sa79e8af178,Eagles,Victim of Love,,1,1,1,,not_enriched,unreviewed
746,Sa7a64f26c4,Gordon Lightfoot,Song for a Winter's Night,,1,1,1,,not_enriched,unreviewed
747,Sa7ebdc168f,Paul McCartney,The Lovely Linda,,1,1,1,,not_enriched,unreviewed
748,Sa8073335b4,The Hollies,Teach Your Children,,1,1,1,,not_enriched,unreviewed
749,Sa83ad81fe6,Kansas,Opus Insert,,1,1,1,,not_enriched,unreviewed
750,Sa8aedb0ef1,Fleetwood Mac,Second Hand News,,1,1,1,,not_enriched,unreviewed
751,Sa8be45baa9,The Steve Miller Band,Threshold,,1,1,1,,not_enriched,unreviewed
752,Sa8e65969a2,Eric Clapton,Before You Accuse Me,,1,1,1,,not_enriched,unreviewed
753,Sa96ccf839e,Electric Light Orchestra,Ma‐Ma‐Ma Belle,,1,1,1,,not_enriched,unreviewed
754,Sa9a5dadeea,Greg Kihn Band,Womankind,,1,1,1,,not_enriched,unreviewed
755,Sa9c2b541b0,Peter Frampton,(I’ll Give You) Money,,1,1,1,,not_enriched,unreviewed
756,Sa9ed98422f,The Beatles,Girl,,1,1,1,,not_enriched,unreviewed
757,Saa4f095bec,The Doors,Waiting for the Sun,,1,1,1,,not_enriched,unreviewed
758,Saa6777a2f7,Journey,Opened the Door,,1,1,1,,not_enriched,unreviewed
759,Saa72b5f4cc,Electric Light Orchestra,Evil Woman,,1,1,1,,not_enriched,unreviewed
760,Saa88314845,Billy Joel,Only the Good Die Young,,1,1,1,,not_enriched,unreviewed
761,Sab11221832,Foreigner,Feels Like the First Time,,1,1,1,,not_enriched,unreviewed
762,Sab34ef717e,Lynyrd Skynyrd,I Ain’t the One,,1,1,1,,not_enriched,unreviewed
763,Sabb69ab1a1,The Byrds,All I Really Want to Do,,1,1,1,,not_enriched,unreviewed
764,Sabdf5d0a56,Paul,Another Day,,1,1,1,,not_enriched,unreviewed
765,Sabeb5bb02e,Kansas,Song for America,,1,1,1,,not_enriched,unreviewed
766,Sac2b8e3064,Billy Idol,The Dead Next Door,,1,1,1,,not_enriched,unreviewed
767,Sac95a3cd91,Dire Straits,Telegraph Road,,1,1,1,,not_enriched,unreviewed
768,Sacc876be5b,Gordon Lightfoot,Beautiful,,1,1,1,,not_enriched,unreviewed
769,Sace0a31696,Lindsey Buckingham,Doing What I Can,,1,1,1,,not_enriched,unreviewed
770,Sad0e0c16a2,Led Zeppelin,Black Mountain Side,,1,1,1,,not_enriched,unreviewed
771,Sad3885c620,Bon Jovi,Wanted Dead or Alive,,1,1,1,,not_enriched,unreviewed
772,Sad4ad8f14f,Gordon Lightfoot,If You Could Read My Mind,,1,1,1,,not_enriched,unreviewed
773,Sad4be8dad5,Roger Hodgson,In Jeopardy,,1,1,1,,not_enriched,unreviewed
774,Sad5aca1222,Eric Clapton,Swing Low Sweet Chariot,,1,1,1,,not_enriched,unreviewed
775,Sad6acfb3a5,The Guess Who,Hang on to Your Life,,1,1,1,,not_enriched,unreviewed
776,Sade3b2292e,The Beatles,Love You To,,1,1,1,,not_enriched,unreviewed
777,Sae18f2d413,Fleetwood Mac,Oh Daddy,,1,1,1,,not_enriched,unreviewed
778,Sae3ac10982,Creedence Clearwater Revival,Down on the Corner,,1,1,1,,not_enriched,unreviewed
779,Sae5d38c03d,The Mamas & the Papas,For the Love of Ivy,,1,1,1,,not_enriched,unreviewed
780,Sae9dcf0d0a,Grand Funk Railroad,We’re an American Band,,1,1,1,,not_enriched,unreviewed
781,Saeb2744578,Creedence Clearwater Revival,Lodi,,1,1,1,,not_enriched,unreviewed
782,Saedee5e2f3,The Beatles,Old Brown Shoe,,1,1,1,,not_enriched,unreviewed
783,Saf990dd6d7,Bon Jovi,Pink Flamingos,,1,1,1,,not_enriched,unreviewed
784,Safc01bb152,The Beatles,She Said She Said,,1,1,1,,not_enriched,unreviewed
785,Safd99f74e4,Carole King,Where You Lead,,1,1,1,,not_enriched,unreviewed
786,Saff30dbf78,The 5th Dimension,"Love's Lines, Angles and Rhymes",,1,1,1,,not_enriched,unreviewed
787,Saffcb61f09,Sheryl Crow,All I Wanna Do,,1,1,1,,not_enriched,unreviewed
788,Sb00e6ad557,The Steve Miller Band,True Fine Love,,1,1,1,,not_enriched,unreviewed
789,Sb021230e8a,Led Zeppelin,Tangerine,,1,1,1,,not_enriched,unreviewed
790,Sb02b3927c6,Creedence Clearwater Revival,Commotion,,1,1,1,,not_enriched,unreviewed
791,Sb07ef71fcc,The Mamas & the Papas,Twist and Shout,,1,1,1,,not_enriched,unreviewed
792,Sb0aa457d22,Grand Funk Railroad,The Loco-Motion,,1,1,1,,not_enriched,unreviewed
793,Sb0b39eb8bb,Garth Brooks,Burning Bridges,,1,1,1,,not_enriched,unreviewed
794,Sb0ca5ccd42,Led Zeppelin,Moby Dick,,1,1,1,,not_enriched,unreviewed
795,Sb0e4c35117,The Mamas & the Papas,Words of Love,,1,1,1,,not_enriched,unreviewed
796,Sb0fa880619,Icehouse,Paradise,,1,1,1,,not_enriched,unreviewed
797,Sb1164b8fa9,Enigma,Age of Loneliness (Carly’s Song),,1,1,1,,not_enriched,unreviewed
798,Sb117d81233,Neil Diamond,Heartlight,,1,1,1,,not_enriched,unreviewed
799,Sb132b092e4,Dire Straits,Southbound Again,,1,1,1,,not_enriched,unreviewed
800,Sb149887ac4,Heart,Dog and Butterfly (acoustic),,1,1,1,,not_enriched,unreviewed
801,Sb16000d57a,Paul McCartney,Letting Go,,1,1,1,,not_enriched,unreviewed
802,Sb169b6235b,Electric Light Orchestra,Livin’ Thing,,1,1,1,,not_enriched,unreviewed
803,Sb1ca593928,Fleetwood Mac,Songbird,,1,1,1,,not_enriched,unreviewed
804,Sb233441a55,The Beatles,If I Needed Someone,,1,1,1,,not_enriched,unreviewed
805,Sb25a37cbae,Lynyrd Skynyrd,I Know a Little,,1,1,1,,not_enriched,unreviewed
806,Sb26cf037ef,The Doors,Light My Fire,,1,1,1,,not_enriched,unreviewed
807,Sb26f823617,Alice Cooper,Be My Lover,,1,1,1,,not_enriched,unreviewed
808,Sb2d415bf8d,The Beatles,Tell Me What You See,,1,1,1,,not_enriched,unreviewed
809,Sb2d73419e9,Jimi Hendrix,Stepping Stone,,1,1,1,,not_enriched,unreviewed
810,Sb2da2810d0,The Mamas & the Papas,I Saw Her Again Last Night,,1,1,1,,not_enriched,unreviewed
811,Sb3fe32edc7,Eric Clapton,Wonderful Tonight,,1,1,1,,not_enriched,unreviewed
812,Sb400690778,Bad Company,Old Mexico,,1,1,1,,not_enriched,unreviewed
813,Sb4416d1ad8,Jimi Hendrix,Voodoo Chile (slight return),,1,1,1,,not_enriched,unreviewed
814,Sb4a719002a,Fleetwood Mac,I'm So Afraid,,1,1,1,,not_enriched,unreviewed
815,Sb4acc8ff82,The Beatles,You Won’t See Me,,1,1,1,,not_enriched,unreviewed
816,Sb4c0377516,The Beatles,Lovely Rita,,1,1,1,,not_enriched,unreviewed
817,Sb4f164c065,Kenny Loggins,Brighter Days,,1,1,1,,not_enriched,unreviewed
818,Sb516fc7a97,The Beatles,I've Got A Feeling,,1,1,1,,not_enriched,unreviewed
819,Sb574e8be23,The J. Geils Band,Mean Love,,1,1,1,,not_enriched,unreviewed
820,Sb591672f4c,Eric Clapton,I Shot the Sheriff,,1,1,1,,not_enriched,unreviewed
821,Sb5a5fdddd4,The J. Geils Band,Cry One More Time,,1,1,1,,not_enriched,unreviewed
822,Sb5b7f39492,The Beatles,Getting Better,,1,1,1,,not_enriched,unreviewed
823,Sb61470721b,The Doors,The Spy,,1,1,1,,not_enriched,unreviewed
824,Sb68ca3df1e,Tom Kimmel,Heroes,,1,1,1,,not_enriched,unreviewed
825,Sb6ee2f47ae,The Beatles,Magical Mystery Tour,,1,1,1,,not_enriched,unreviewed
826,Sb6f9820a4e,Huey Lewis & the News,Bad Is Bad,,1,1,1,,not_enriched,unreviewed
827,Sb739b7e3b9,The Cars,I'm in Touch With Your World,,1,1,1,,not_enriched,unreviewed
828,Sb761cd4769,Led Zeppelin,Bron‐Y‐Aur Stomp,,1,1,1,,not_enriched,unreviewed
829,Sb76e1a88e2,Wings,Live and Let Die,,1,1,1,,not_enriched,unreviewed
830,Sb79e94720c,Tracy Chapman,This Time,,1,1,1,,not_enriched,unreviewed
831,Sb7a9d9e38c,Chicago,Call on Me,,1,1,1,,not_enriched,unreviewed
832,Sb7c9099384,Jimi Hendrix,Freedom,,1,1,1,,not_enriched,unreviewed
833,Sb7d2824c64,Paul McCartney,Kreen‐Akrore,,1,1,1,,not_enriched,unreviewed
834,Sb832260617,Huey Lewis and the News,If This Is It,,1,1,1,,not_enriched,unreviewed
835,Sb83bf55f9b,The Beatles,You’re Going to Lose That Girl,,1,1,1,,not_enriched,unreviewed
836,Sb95be5a0c9,Jimi Hendrix,Room Full of Mirrors,,1,1,1,,not_enriched,unreviewed
837,Sba6683aa2a,Paul McCartney,Magneto And Titanium Man,,1,1,1,,not_enriched,unreviewed
838,Sbb27dca52f,The Babys,Isn't It Time,,1,1,1,,not_enriched,unreviewed
839,Sbbea4095cd,Alice Cooper,Muscle of Love,,1,1,1,,not_enriched,unreviewed
840,Sbc0db38c26,Roger Hodgson,Only Because of You,,1,1,1,,not_enriched,unreviewed
841,Sbc15329ef9,Grand Funk Railroad,Some Kind of Wonderful,,1,1,1,,not_enriched,unreviewed
842,Sbc1c01ac7a,Led Zeppelin,What Is and What Should Never Be,,1,1,1,,not_enriched,unreviewed
843,Sbcc41e7460,The Animals,Around and Around,,1,1,1,,not_enriched,unreviewed
844,Sbce9d1e1c8,The J. Geils Band,Trying to Live My Life Without You,,1,1,1,,not_enriched,unreviewed
845,Sbda5a033e2,Garth Brooks,Friends in Low Places,,1,1,1,,not_enriched,unreviewed
846,Sbe366741db,The Beatles,Sgt. Pepper’s Lonely Hearts Club Band,,1,1,1,,not_enriched,unreviewed
847,Sbe77777fd4,Sheryl Crow,Maybe That’s Something,,1,1,1,,not_enriched,unreviewed
848,Sbf3be1f13d,Electric Light Orchestra,Strange Magic,,1,1,1,,not_enriched,unreviewed
849,Sbf72464610,George Harrison,What Is Life,,1,1,1,,not_enriched,unreviewed
850,Sbfd3253a8b,Garth Brooks,Shameless,,1,1,1,,not_enriched,unreviewed
851,Sbfecf8ad8d,Huey Lewis & the News,Trouble in Paradise,,1,1,1,,not_enriched,unreviewed
852,Sbff8b08db5,Chicago,Saturday in the Park,,1,1,1,,not_enriched,unreviewed
853,Sbffd720a34,"Crosby, Stills & Nash",49 Bye‐Byes,,1,1,1,,not_enriched,unreviewed
854,Sc1566175c0,Roger Hodgson,I’m Not Afraid,,1,1,1,,not_enriched,unreviewed
855,Sc17912cda2,Kansas,Point of Know Return,,1,1,1,,not_enriched,unreviewed
856,Sc195f0dab0,Lynyrd Skynyrd,Sweet Home Alabama,,1,1,1,,not_enriched,unreviewed
857,Sc1ac72318d,Fleetwood Mac,When I See You Again,,1,1,1,,not_enriched,unreviewed
858,Sc2507b19f0,Billy Joel,She’s Always a Woman,,1,1,1,,not_enriched,unreviewed
859,Sc2604592e6,Alice Cooper,Teenage Lament ’74,,1,1,1,,not_enriched,unreviewed
860,Sc27c84e6b9,The Hollies,The Air That I Breathe,,1,1,1,,not_enriched,unreviewed
861,Sc294cc5583,Paul McCartney,Treat Her Gently-Lonely Old People,,1,1,1,,not_enriched,unreviewed
862,Sc2bb1910eb,Jimi Hendrix,The Burning of the Midnight Lamp,,1,1,1,,not_enriched,unreviewed
863,Sc2cbaea1ea,The Doors,Alabama Song (Whiskey Bar),,1,1,1,,not_enriched,unreviewed
864,Sc39b7a0f19,Billy Idol,Blue Highway,,1,1,1,,not_enriched,unreviewed
865,Sc423cce133,Gordon Lightfoot,Early Morning Rain,,1,1,1,,not_enriched,unreviewed
866,Sc4540f40e7,Alice in Chains,I Stay Away,,1,1,1,,not_enriched,unreviewed
